video_id,question_id,question,category,correct_answer,status,error,elapsed_time,option_1,option_1_similarity,option_2,option_2_similarity,option_3,option_3_similarity,min_similarity,max_similarity,mean_similarity,std_similarity
000032,1,"Based on the visual evidence, what are the prevailing weather and lighting conditions?",Weather & Light,"Nighttime with artificial street lighting, and the presence of roadside snow suggests winter conditions with a potential for icy roads.",success,,6.668059825897217,"Nighttime with artificial lighting and snow on the roadside, but clear roads indicating no risk of ice formation.",0.40505155337004395,"Daytime with overcast skies and wet road surfaces, indicating recent rainfall and reduced visibility.",0,"Nighttime with heavy snowfall actively occurring, causing poor visibility and slippery road conditions.",0.11336199333108264,0,0.40505155337004395,0.1728045155670422,0.17061994863673044
000032,2,Which statement best describes the traffic environment where the accident occurred?,Traffic Environment,An urban multi-lane main road with commercial buildings and sidewalks.,success,,3.854909896850586,residential street with low traffic and single-family homes.,0,rural highway with open fields and minimal lighting.,0,An urban intersection with traffic lights and pedestrian crossings.,0.10720962102813672,0,0.10720962102813672,0.03573654034271224,0.05053910002495691
000032,3,What is the configuration of the road from the perspective of the ego vehicle?,Road Configuration,A multi-lane road with at least two lanes for traffic moving in the same direction.,success,,3.6823768615722656,single-lane road with vehicles moving in both directions.,0.2959150528230623,two-way road with one lane for each direction and a median divider.,0.2959150528230623,multi-lane road with at least two lanes for traffic moving in the opposite direction.,0.8754848415421381,0.2959150528230623,0.8754848415421381,0.4891049823960876,0.2732118185160754
000032,4,How would you classify the type of collision that occurs in the video?,Accident Type,"A T-bone (or side-impact) collision, where the front of the red SUV impacts the side of the silver sedan.",success,,4.534396648406982,"rear-end collision, where the red SUV strikes the back of the silver sedan from behind.",0.3011310122364683,"head-on collision, where the front of the red SUV impacts the front of the silver sedan directly.",0.49514404525578337,"side-swipe collision, where the red SUV makes contact with the side of the silver sedan while both vehicles are moving forward.",0.2292464315202801,0.2292464315202801,0.49514404525578337,0.34184049633751057,0.11230414601841579
000032,5,What was the primary and most direct cause of this accident?,Accident Cause,The silver sedan executed an improper and abrupt left turn/U-turn from the far-right lane without yielding to traffic.,success,,6.291664361953735,The silver sedan initiated a left turn from the far-right lane but had already yielded to oncoming traffic.,0.5794211898070267,The black sedan failed to maintain a safe following distance while approaching the intersection.,0.02508160028020014,The silver sedan was struck by another vehicle that suddenly accelerated into its path.,0.07405976594017166,0.02508160028020014,0.5794211898070267,0.22618751867579948,0.25057299002284994
000032,6,What action by the silver sedan's driver could have most effectively prevented this collision?,Accident Prevention,Refraining from making the sudden turn and instead proceeding to a proper intersection or designated area to turn safely.,success,,4.254487752914429,Maintaining a safe following distance while approaching the intersection could have reduced the severity of the impact.,0.06541639464352483,Slowing down immediately after the turn would have allowed for better control during the maneuver.,0.1044163600610984,Signaling the intent to turn earlier might have given other drivers more time to react.,0.09715464129891596,0.06541639464352483,0.1044163600610984,0.08899579866784639,0.016934665835732773
000033,1,"Based on the video, which statement best describes the weather and lighting conditions at the time of the incident?",Weather & Light,"It is a clear, sunny day, with strong sun glare potentially affecting the drivers' vision.",success,,4.136859178543091,"It is a cloudy day with diffused lighting, reducing glare and improving visibility.",0.17632544986917226,"The bright sunlight is causing reflections on the road surface, which may be due to wet pavement from recent rain.",0,"There is heavy fog reducing visibility, making it difficult for drivers to see other vehicles clearly.",0.08033760531700268,0,0.17632544986917226,0.08555435172872498,0.07207901636507284
000033,2,Which of the following best characterizes the traffic environment shown in the video?,Traffic Environment,A busy urban expressway or elevated highway with multiple lanes of traffic.,success,,6.786616086959839,multi-lane urban road with light traffic and no visible barriers or elevated structures.,0.2348608022001335,An elevated highway with moderate traffic flow and occasional lane changes.,0.23871612936364744,busy city street with frequent intersections and pedestrian crossings.,0.10965196797046858,0.10965196797046858,0.23871612936364744,0.19440963317808316,0.05995338325437519
000033,3,What is the configuration of the road where the accident occurs?,Road Configuration,"A multi-lane, one-way highway with traffic flowing in the same direction.",success,,4.238219499588013,two-way road with traffic moving in opposite directions on separate lanes.,0.2048367235353598,multi-lane highway where traffic flows in opposite directions divided by a median.,0.3750919727855307,single-lane highway with vehicles traveling in both directions.,0.19960894568856533,0.19960894568856533,0.3750919727855307,0.2598458806698186,0.08151923587416349
000033,4,What type of collision occurs between the cars?,Accident Type,A multi-car sideswipe/lane-change collision where the dark sedan strikes the side of the white sedan while changing lanes.,success,,5.013506174087524,rear-end collision where the white sedan strikes the dark sedan from behind after braking suddenly.,0.34926965247683583,T-bone collision where the dark sedan is struck by the white sedan at a perpendicular angle during a lane change.,0.4024702015480681,"sideswipe collision between two cars, but caused by the white sedan changing lanes into the path of the dark sedan.",0.5318298743345033,0.34926965247683583,0.5318298743345033,0.4278565761198025,0.07666120123244655
