video_id,question_id,question,category,correct_answer,status,error,elapsed_time,option_1,option_1_similarity,option_2,option_2_similarity,min_similarity,max_similarity,mean_similarity,std_similarity
000032,1,"Based on the visual evidence, what are the prevailing weather and lighting conditions?",Weather & Light,"Nighttime with artificial street lighting, and the presence of roadside snow suggests winter conditions with a potential for icy roads.",success,,6.668059825897217,"Nighttime with artificial lighting and snow on the roadside, but clear roads indicating no risk of ice formation.",0.40505155337004395,"Daytime with overcast skies and wet road surfaces, indicating recent rainfall and reduced visibility.",0,0,0.40505155337004395,0.20252577668502197,0.20252577668502197
000032,2,Which statement best describes the traffic environment where the accident occurred?,Traffic Environment,An urban multi-lane main road with commercial buildings and sidewalks.,success,,3.854909896850586,residential street with low traffic and single-family homes.,0,rural highway with open fields and minimal lighting.,0,0,0,0,0
000032,3,What is the configuration of the road from the perspective of the ego vehicle?,Road Configuration,A multi-lane road with at least two lanes for traffic moving in the same direction.,success,,3.6823768615722656,single-lane road with vehicles moving in both directions.,0.2959150528230623,two-way road with one lane for each direction and a median divider.,0.2959150528230623,0.2959150528230623,0.2959150528230623,0.2959150528230623,0
000032,4,How would you classify the type of collision that occurs in the video?,Accident Type,"A T-bone (or side-impact) collision, where the front of the red SUV impacts the side of the silver sedan.",success,,4.534396648406982,"rear-end collision, where the red SUV strikes the back of the silver sedan from behind.",0.3011310122364683,"head-on collision, where the front of the red SUV impacts the front of the silver sedan directly.",0.49514404525578337,0.3011310122364683,0.49514404525578337,0.39813752874612585,0.09700651650965753
000032,5,What was the primary and most direct cause of this accident?,Accident Cause,The silver sedan executed an improper and abrupt left turn/U-turn from the far-right lane without yielding to traffic.,success,,6.291664361953735,The silver sedan initiated a left turn from the far-right lane but had already yielded to oncoming traffic.,0.5794211898070267,The black sedan failed to maintain a safe following distance while approaching the intersection.,0.02508160028020014,0.02508160028020014,0.5794211898070267,0.3022513950436134,0.2771697947634133
000032,6,What action by the silver sedan's driver could have most effectively prevented this collision?,Accident Prevention,Refraining from making the sudden turn and instead proceeding to a proper intersection or designated area to turn safely.,success,,4.254487752914429,Maintaining a safe following distance while approaching the intersection could have reduced the severity of the impact.,0.06541639464352483,Slowing down immediately after the turn would have allowed for better control during the maneuver.,0.1044163600610984,0.06541639464352483,0.1044163600610984,0.08491637735231161,0.019499982708786785
000033,1,"Based on the video, which statement best describes the weather and lighting conditions at the time of the incident?",Weather & Light,"It is a clear, sunny day, with strong sun glare potentially affecting the drivers' vision.",success,,4.136859178543091,"It is a cloudy day with diffused lighting, reducing glare and improving visibility.",0.17632544986917226,"The bright sunlight is causing reflections on the road surface, which may be due to wet pavement from recent rain.",0,0,0.17632544986917226,0.08816272493458613,0.08816272493458613
000033,2,Which of the following best characterizes the traffic environment shown in the video?,Traffic Environment,A busy urban expressway or elevated highway with multiple lanes of traffic.,success,,6.786616086959839,multi-lane urban road with light traffic and no visible barriers or elevated structures.,0.2348608022001335,An elevated highway with moderate traffic flow and occasional lane changes.,0.23871612936364744,0.2348608022001335,0.23871612936364744,0.23678846578189047,0.001927663581756972
000033,3,What is the configuration of the road where the accident occurs?,Road Configuration,"A multi-lane, one-way highway with traffic flowing in the same direction.",success,,4.238219499588013,two-way road with traffic moving in opposite directions on separate lanes.,0.2048367235353598,multi-lane highway where traffic flows in opposite directions divided by a median.,0.3750919727855307,0.2048367235353598,0.3750919727855307,0.28996434816044525,0.08512762462508544
000033,4,What type of collision occurs between the cars?,Accident Type,A multi-car sideswipe/lane-change collision where the dark sedan strikes the side of the white sedan while changing lanes.,success,,5.013506174087524,rear-end collision where the white sedan strikes the dark sedan from behind after braking suddenly.,0.34926965247683583,T-bone collision where the dark sedan is struck by the white sedan at a perpendicular angle during a lane change.,0.4024702015480681,0.34926965247683583,0.4024702015480681,0.375869927012452,0.026600274535616142
000033,5,What was the primary cause of this accident?,Accident Cause,"The sudden stop of the front car resulted in the dodge of the white car, thw white car hit with another car on side when avoiding",success,,4.828990459442139,The sudden stop of the front car caused the white car to collide directly with it from behind,0.4652667804839373,"The white car swerved to avoid a collision, but lost control and crashed into the vehicle on the left side",0.148557677231841,0.148557677231841,0.4652667804839373,0.30691222885788916,0.15835455162604817
000033,6,What critical action could have most effectively prevented this collision?,Accident Prevention,The driver of the light-color car ensures the target lane is clear by checking mirrors and blind spots before initiating the lane change.,success,,7.610080242156982,The driver of the light-color car checks mirrors but assumes the blind spot is clear without turning their head.,0.32830823660353403,The driver of the dark-color car should have accelerated to prevent the lane change from occurring.,0.33683431458392,0.32830823660353403,0.33683431458392,0.332571275593727,0.00426303899019298
000042,1,"Based on the video, what were the primary weather and road surface conditions at the time of the accident?",Weather & Light,"Daytime with good visibility, but the road was covered in snow and ice, making it extremely slippery.",success,,4.828323125839233,"Daytime with clear skies, and the road was dry and free of snow or ice.",0.2843991404870051,"Daytime with moderate snow on the ground, but the road was treated with salt and had good traction.",0.2624350628917404,0.2624350628917404,0.2843991404870051,0.2734171016893727,0.010982038797632349
000042,2,Which of the following best describes the traffic environment where the collision took place?,Traffic Environment,A residential or urban street with snow piled up on the sides and cars parked along the road.,success,,5.417045593261719,city street with snow piled up on the sides and cars driving in both directions,0.47607735895657854,residential area with snow on the ground but no visible parked cars along the road,0.44604229909341087,0.44604229909341087,0.47607735895657854,0.4610598290249947,0.01501752993158384
000042,3,What is the configuration of the road shown in the video?,Road Configuration,"A two-way, two-lane road where lane markings are not visible due to snow cover.",success,,5.785958766937256,"one-way, two-lane road with visible lane markings despite snow cover on the shoulders",0.7814690324379754,"two-way, single-lane road where snow has obscured the center line and traffic flow is bidirectional",0.22792124760303267,0.22792124760303267,0.7814690324379754,0.504695140020504,0.27677389241747136
000042,4,How would you classify the type of collision that occurs in the video?,Accident Type,A loss-of-control accident where the ego vehicle swerved to avoid an oncoming vehicle and spun out.,success,,5.068318605422974,"loss-of-control accident due to icy road conditions, resulting in the ego vehicle spinning out without avoiding another vehicle.",0.3945945371392541,T-bone collision where the ego vehicle was struck perpendicularly by an oncoming vehicle.,0.30504195960138425,0.30504195960138425,0.3945945371392541,0.34981824837031916,0.04477628876893491
000042,5,What was the most significant contributing factor to this accident?,Accident Cause,"An oncoming vehicle suddenly changed lanes into the ego vehicle's path, forcing a dangerous evasive maneuver on the icy road.",success,,5.28972053527832,An oncoming vehicle lost control due to icy conditions and veered into the ego vehicle's lane.,0.26742185788590755,"The ego vehicle attempted a sudden turn to avoid an obstacle, causing it to skid on the icy road.",0.1670850763016272,0.1670850763016272,0.26742185788590755,0.21725346709376736,0.05016839079214018
000042,6,Which of the following actions by the driver of the dark car would have been most effective in preventing this accident?,Accident Prevention,The oncoming vehicle should have stayed in its own lane and avoided making a sudden lane change.,success,,4.5628981590271,The driver of the dark car should have slowed down to avoid hitting the pedestrian crossing the road.,0,The oncoming vehicle should have yielded to the dark car since it was already in motion.,0.1790270112808865,0,0.1790270112808865,0.08951350564044325,0.08951350564044325
000062,1,"Based on the visual evidence, what are the prevailing weather and road surface conditions at the time of the incident?",Weather & Light,"Daylight with overcast skies, and the road is wet and potentially icy due to snow.",success,,4.365845680236816,"Daylight with clear skies, and the road is dry and free of snow or ice",0.2932970349068779,"Daylight with overcast skies, but the road is dry due to recent clearing efforts",0.34988145637605994,0.2932970349068779,0.34988145637605994,0.32158924564146896,0.02829221073459101
000062,2,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban arterial road with moderate traffic flow.,success,,4.353579044342041,multi-lane suburban road with heavy traffic during rush hour.,0.3622541566796917,two-lane residential street with light traffic and snow-covered sidewalks.,0.13048165403313663,0.13048165403313663,0.3622541566796917,0.24636790535641417,0.11588625132327753
000062,3,What is the physical configuration of the road where the accident occurs?,Road Configuration,"A two-way, multi-lane road with no physical median or barrier separating opposing traffic.",success,,4.147798776626587,one-way road with multiple lanes and a central divider separating traffic flows.,0.292083856305017,two-way road with a physical median barrier preventing cross-traffic collisions.,0.48462466562362433,0.292083856305017,0.48462466562362433,0.3883542609643207,0.09627040465930367
000062,4,What type of collision occurs in this video?,Accident Type,A sideswipe/angle collision initiated by the right-side vehicle suddenly cutting into the recording vehicle's lane.,success,,4.383382797241211,sideswipe collision initiated by the recording vehicle drifting into the adjacent lane.,0.536876373026344,T-bone collision resulting from the right-side vehicle suddenly accelerating into the path of the recording vehicle.,0.4393387921099184,0.4393387921099184,0.536876373026344,0.48810758256813114,0.04876879045821278
000062,5,What is the primary and most direct cause of this accident?,Accident Cause,"The vehicle on the right side executed a sudden, unsignaled lane change, cutting directly in front of the recording vehicle.",success,,4.600194215774536,"The white sedan on the right made a lane change but signaled properly, resulting in confusion for surrounding vehicles.",0.21020527954183754,"The vehicle on the left side failed to maintain a safe following distance, leading to a rear-end collision.",0.06711514458700757,0.06711514458700757,0.21020527954183754,0.13866021206442256,0.07154506747741499
000062,6,What action would have most effectively prevented this collision?,Accident Prevention,"The driver of the right-side vehicle should have avoided making a sudden lane change, checked mirrors, and signaled before merging.",success,,4.883808612823486,The collision could have been avoided if the right-side vehicle had braked immediately after entering the lane.,0.3008256645350359,"The driver on the right should have signaled and checked mirrors, but only if traffic was clear in front.",0.448515232355984,0.3008256645350359,0.448515232355984,0.37467044844550995,0.07384478391047405
000066,1,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,"Clear sky with bright, sunny daylight",success,,4.093519926071167,Overcast sky with diffused daylight and light cloud cover,0.24138086478907445,Clear sky with dim lighting due to early morning conditions,0.24138086478907445,0.24138086478907445,0.24138086478907445,0.24138086478907445,0
000066,2,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,"An urban main road with multiple lanes, large buildings, and pedestrian crosswalks.",success,,4.219944715499878,"An urban intersection with traffic lights, crosswalks, and surrounding commercial buildings.",0.2891720451163031,rural two-lane road with open fields and minimal traffic signs.,0.09166670552208447,0.09166670552208447,0.2891720451163031,0.19041937531919378,0.09875266979710932
000066,3,What is the configuration of the road where the incident took place?,Road Configuration,A signalized cross-intersection on a multi-lane road divided by a median barrier.Few vehicles were on the road.,success,,5.159295558929443,"multi-lane road with a central divider and traffic signals, but the intersection was uncontrolled due to malfunctioning lights.",0.33343552682026173,"two-way street without a median barrier, where vehicles were approaching from both directions at a non-signalized junction.",0.30057873638640237,0.30057873638640237,0.33343552682026173,0.31700713160333205,0.01642839521692968
